epoch,train_loss,train_acc,val_loss,val_acc
1,1.5623771415667587,0.39470304975922954,1.0108358672796152,0.49230769230769234
2,0.7564000271487963,0.6497592295345105,0.5963794737767715,0.7051282051282052
3,0.34926295610530417,0.8930979133226324,0.41864734361760125,0.841025641025641
4,0.24750339151576856,0.9223113964686999,0.3171196639907952,0.8705128205128205
5,0.179132582594074,0.946067415730337,0.1676248680244988,0.95
6,0.15959045616476342,0.9459069020866774,0.205480947803097,0.9179487179487179
7,0.13787966772890015,0.9579454253611557,0.1019137027195822,0.9615384615384616
8,0.11775106409770911,0.9617977528089887,0.16058367780911234,0.9461538461538461
9,0.09973128476743713,0.9686998394863563,0.20931139088785036,0.926923076923077
10,0.08934558470932286,0.971107544141252,0.07559172004425468,0.9769230769230769
11,0.07959936538391282,0.974959871589085,0.055681306284326965,0.9807692307692307
12,0.08342511854934272,0.9723916532905297,0.136821356387988,0.926923076923077
13,0.06675622380468665,0.979454253611557,0.07657605082345888,0.9743589743589743
14,0.06982757870711828,0.9812199036918138,0.04620025135511055,0.9884615384615385
15,0.06107922885955624,0.9823434991974318,0.07713839226127722,0.9615384615384616
16,0.05825639214982573,0.9818619582664526,0.053076904410950074,0.9871794871794872
17,0.05866574263065623,0.9815409309791332,0.045815538111118936,0.9897435897435898
18,0.05304911085681012,0.9852327447833066,0.037637476803651315,0.9897435897435898
19,0.053188419692445525,0.9834670947030497,0.03403017654229935,0.9923076923076923
20,0.05184836467043355,0.9839486356340289,0.05599972939667985,0.985897435897436
21,0.05105943373355112,0.985553772070626,0.04208212032054479,0.9871794871794872
22,0.04854783964960763,0.9857142857142858,0.04007962492909521,0.9910256410256411
23,0.046754242132984423,0.9874799357945425,0.03943838875155705,0.9897435897435898
24,0.043960566483856586,0.9879614767255217,0.03451705250936823,0.9897435897435898
25,0.04528779229253865,0.9882825040128411,0.03267834838718558,0.9935897435897436
